ts,config,write_id,key,true_class,predicted_class,action,is_false,version_read,version_at_commit,classify_ms,escalated
0,no_gating,0,ship_date::the_API_migration::0,bootstrap,n/a,apply,False,0,1,0.0,False
1,no_gating,1,magnitude::the_budget::1,bootstrap,n/a,apply,False,0,1,0.0,False
2,no_gating,2,status::the_offline_mode::2,bootstrap,n/a,apply,False,0,1,0.0,False
3,no_gating,3,ship_date::the_onboarding_revamp::3,bootstrap,n/a,apply,False,0,1,0.0,False
4,no_gating,4,magnitude::the_marketing_spend::4,bootstrap,n/a,apply,False,0,1,0.0,False
5,no_gating,5,status::the_dark_mode_rollout::5,bootstrap,n/a,apply,False,0,1,0.0,False
6,no_gating,6,ship_date::the_partner_integration::6,bootstrap,n/a,apply,False,0,1,0.0,False
7,no_gating,7,magnitude::the_budget::7,bootstrap,n/a,apply,False,0,1,0.0,False
8,no_gating,8,status::Feature_X::8,bootstrap,n/a,apply,False,0,1,0.0,False
9,no_gating,9,ship_date::the_vendor_contract_renewal::9,bootstrap,n/a,apply,False,0,1,0.0,False
10,no_gating,10,magnitude::the_support_queue::10,bootstrap,n/a,apply,False,0,1,0.0,False
11,no_gating,11,status::the_referral_program::11,bootstrap,n/a,apply,False,0,1,0.0,False
12,no_gating,12,ship_date::the_beta_rollout::12,bootstrap,n/a,apply,False,0,1,0.0,False
13,no_gating,13,magnitude::the_budget::13,bootstrap,n/a,apply,False,0,1,0.0,False
14,no_gating,14,status::the_dark_mode_rollout::14,bootstrap,n/a,apply,False,0,1,0.0,False
15,no_gating,15,ship_date::the_partner_integration::15,bootstrap,n/a,apply,False,0,1,0.0,False
16,no_gating,16,magnitude::the_headcount_plan::16,bootstrap,n/a,apply,False,0,1,0.0,False
17,no_gating,17,status::the_export_tool::17,bootstrap,n/a,apply,False,0,1,0.0,False
18,no_gating,18,ship_date::the_vendor_contract_renewal::18,bootstrap,n/a,apply,False,0,1,0.0,False
19,no_gating,19,magnitude::the_storage_quota::19,bootstrap,n/a,apply,False,0,1,0.0,False
20,no_gating,20,status::the_dark_mode_rollout::20,bootstrap,n/a,apply,False,0,1,0.0,False
21,no_gating,21,ship_date::the_onboarding_revamp::21,bootstrap,n/a,apply,False,0,1,0.0,False
22,no_gating,22,magnitude::the_storage_quota::22,bootstrap,n/a,apply,False,0,1,0.0,False
23,no_gating,23,status::the_offline_mode::23,bootstrap,n/a,apply,False,0,1,0.0,False
24,no_gating,24,ship_date::the_beta_rollout::24,bootstrap,n/a,apply,False,0,1,0.0,False
25,no_gating,25,magnitude::the_infra_budget::25,bootstrap,n/a,apply,False,0,1,0.0,False
26,no_gating,26,status::the_audit_log_feature::26,bootstrap,n/a,apply,False,0,1,0.0,False
27,no_gating,27,ship_date::the_onboarding_revamp::27,bootstrap,n/a,apply,False,0,1,0.0,False
28,no_gating,28,magnitude::the_headcount_plan::28,bootstrap,n/a,apply,False,0,1,0.0,False
29,no_gating,29,status::the_dark_mode_rollout::29,bootstrap,n/a,apply,False,0,1,0.0,False
30,no_gating,30,ship_date::the_data_migration::30,bootstrap,n/a,apply,False,0,1,0.0,False
31,no_gating,31,magnitude::the_storage_quota::31,bootstrap,n/a,apply,False,0,1,0.0,False
32,no_gating,32,status::the_dark_mode_rollout::32,bootstrap,n/a,apply,False,0,1,0.0,False
33,no_gating,33,ship_date::the_data_migration::33,bootstrap,n/a,apply,False,0,1,0.0,False
34,no_gating,34,magnitude::the_infra_budget::34,bootstrap,n/a,apply,False,0,1,0.0,False
35,no_gating,35,status::the_offline_mode::35,bootstrap,n/a,apply,False,0,1,0.0,False
36,no_gating,36,ship_date::the_Q3_roadmap_review::36,bootstrap,n/a,apply,False,0,1,0.0,False
